ESTACION,TIEMPO,AIRETEMPERATURA,BULBOTEMPERATURA,HUMEDAD,INTECIDADLLUVIA,INTERVALOLLUVIA,LLUVIATOTAL,PRECICION,DIRECIONVIENTO,VELOCIDADVIENTO,VELOCIDADMAXIMA,BAROMETRICA,RADIACIONSOLAR,RUMBO,BATERIA,HORAMEDICION,ID
63rd Street Weather Station,1/01/2016 12:00:00 a. m.,-28,-44,69,0,0,67,0,255,38,64,10005,5,353,119,1/01/2016 12:00:00 a. m.,63rdStreetWeatherStation201601012400
Oak Street Weather Station,1/01/2016 12:00:00 a. m.,-23,-4,67,0,0,63,0,260,4,76,10005,3,359,121,1/01/2016 12:00:00 a. m.,OakStreetWeatherStation201601012400
63rd Street Weather Station,1/01/2016 1:00:00 a. m.,-34,-48,72,0,0,67,0,273,64,94,9999,5,353,119,1/01/2016 1:00:00 a. m.,63rdStreetWeatherStation201601010100
Oak Street Weather Station,1/01/2016 1:00:00 a. m.,-32,-48,67,0,0,63,0,286,15,56,1000,4,359,12,1/01/2016 1:00:00 a. m.,OakStreetWeatherStation201601010100
63rd Street Weather Station,1/01/2016 2:00:00 a. m.,-42,-55,71,0,0,67,0,261,62,98,9996,5,354,119,1/01/2016 2:00:00 a. m.,63rdStreetWeatherStation201601010200
Oak Street Weather Station,1/01/2016 2:00:00 a. m.,-4,-57,64,0,0,63,0,288,16,34,1000,4,359,121,1/01/2016 2:00:00 a. m.,OakStreetWeatherStation201601010200
63rd Street Weather Station,1/01/2016 3:00:00 a. m.,-51,-64,70,0,0,67,0,277,71,10,9991,5,353,118,1/01/2016 3:00:00 a. m.,63rdStreetWeatherStation201601010300
Oak Street Weather Station,1/01/2016 3:00:00 a. m.,-48,-63,67,0,0,63,0,297,16,71,9997,4,359,12,1/01/2016 3:00:00 a. m.,OakStreetWeatherStation201601010300
63rd Street Weather Station,1/01/2016 4:00:00 a. m.,-57,-69,72,0,0,67,0,276,77,103,9989,5,353,119,1/01/2016 4:00:00 a. m.,63rdStreetWeatherStation201601010400
Oak Street Weather Station,1/01/2016 4:00:00 a. m.,-55,-69,69,0,0,63,0,284,26,58,9994,4,359,121,1/01/2016 4:00:00 a. m.,OakStreetWeatherStation201601010400
