ARMAS_MEDIOS;DEPARTAMENTO ;MUNICIPIO ;FECHA ;GENERO;*AGRUPA_EDAD_PERSONA;CODIGO_DANE;CANTIDAD 
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;Leticia (CT);2022/09/08 00:00:00.000;MASCULINO;ADULTOS;91798000;1,0
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;Leticia (CT);2022/10/17 00:00:00.000;MASCULINO;ADULTOS;91001000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Amagá;2022/07/06 00:00:00.000;MASCULINO;ADULTOS;05030000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Amagá;2022/11/22 00:00:00.000;FEMENINO;ADULTOS;05030000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Angostura;2022/11/17 00:00:00.000;MASCULINO;ADULTOS;05038000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Bello;2022/12/10 00:00:00.000;MASCULINO;ADOLESCENTES;05088000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Caldas;2022/05/28 00:00:00.000;FEMENINO;ADULTOS;05129000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Caldas;2022/10/10 00:00:00.000;MASCULINO;ADULTOS;05129000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Campamento;2022/09/04 00:00:00.000;FEMENINO;ADULTOS;05134000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Caracolí;2022/05/17 00:00:00.000;FEMENINO;ADULTOS;05142000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Carepa;2022/03/22 00:00:00.000;MASCULINO;ADULTOS;05147000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Carepa;2022/12/14 00:00:00.000;FEMENINO;ADULTOS;05147000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Copacabana;2022/02/28 00:00:00.000;MASCULINO;ADULTOS;05212000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Copacabana;2022/03/07 00:00:00.000;MASCULINO;ADULTOS;05212000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Dabeiba;2022/08/09 00:00:00.000;FEMENINO;ADULTOS;05234000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Don Matías;2022/01/02 00:00:00.000;MASCULINO;ADULTOS;05237000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;El Carmen de Viboral;2022/01/13 00:00:00.000;MASCULINO;ADULTOS;05148000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Guadalupe;2022/10/20 00:00:00.000;FEMENINO;ADULTOS;05315000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Guarne;2022/04/22 00:00:00.000;MASCULINO;ADULTOS;05318000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Guarne;2022/05/22 00:00:00.000;MASCULINO;ADULTOS;05318000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Marinilla;2022/08/20 00:00:00.000;MASCULINO;ADULTOS;05440000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Medellín (CT);2022/02/11 00:00:00.000;MASCULINO;ADULTOS;05001000;1,0
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;Medellín (CT);2022/02/12 00:00:00.000;FEMENINO;ADULTOS;05001000;1,0
