Año,Fecha,Festivo,Día
1984,1 de enero,Año Nuevo,Domingo
1984,9 de enero,Epifanía,Lunes
1984,19 de marzo,Día de San José,Lunes
1984,19 de abril,Jueves Santo,Jueves
1984,20 de abril,Viernes Santo,Viernes
1984,1 de mayo,Día del trabajo,Martes
1984,4 de junio,Ascensión de Jesús,Lunes
1984,25 de junio,Corpus Christi,Lunes
1984,2 de julio,San Pedro y San Pablo,Lunes
1984,2 de julio,Sagrado Corazón de Jesús,Lunes
1984,20 de julio,Día de la independencia,Viernes
1984,7 de agosto,Batalla de Boyacá,Martes
1984,20 de agosto,Asunción de la Virgen,Lunes
1984,15 de octubre,Día de la raza,Lunes
1984,5 de noviembre,Todos los Santos,Lunes
1984,12 de noviembre,Independencia de Cartagena,Lunes
1984,8 de diciembre,Inmaculada Concepción,Sábado
1984,25 de diciembre,Navidad,Martes
1985,1 de enero,Año Nuevo,Martes
1985,7 de enero,Epifanía,Lunes
1985,25 de marzo,Día de San José,Lunes
1985,4 de abril,Jueves Santo,Jueves
1985,5 de abril,Viernes Santo,Viernes
1985,1 de mayo,Día del trabajo,Miércoles
1985,20 de mayo,Ascensión de Jesús,Lunes
1985,10 de junio,Corpus Christi,Lunes
1985,17 de junio,Sagrado Corazón de Jesús,Lunes
1985,1 de julio,San Pedro y San Pablo,Lunes
1985,20 de julio,Día de la independencia,Sábado
1985,7 de agosto,Batalla de Boyacá,Miércoles
1985,19 de agosto,Asunción de la Virgen,Lunes
1985,14 de octubre,Día de la raza,Lunes
1985,4 de noviembre,Todos los Santos,Lunes
1985,11 de noviembre,Independencia de Cartagena,Lunes
1985,8 de diciembre,Inmaculada Concepción,Domingo
1985,25 de diciembre,Navidad,Miércoles
1986,1 de enero,Año Nuevo,Miércoles
1986,6 de enero,Epifanía,Lunes
1986,24 de marzo,Día de San José,Lunes
1986,27 de marzo,Jueves Santo,Jueves
1986,28 de marzo,Viernes Santo,Viernes
1986,1 de mayo,Día del trabajo,Jueves
1986,12 de mayo,Ascensión de Jesús,Lunes
1986,2 de junio,Corpus Christi,Lunes
1986,9 de junio,Sagrado Corazón de Jesús,Lunes
1986,30 de junio,San Pedro y San Pablo,Lunes
1986,20 de julio,Día de la independencia,Domingo
1986,7 de agosto,Batalla de Boyacá,Jueves
1986,18 de agosto,Asunción de la Virgen,Lunes
1986,13 de octubre,Día de la raza,Lunes
1986,3 de noviembre,Todos los Santos,Lunes
1986,17 de noviembre,Independencia de Cartagena,Lunes
1986,8 de diciembre,Inmaculada Concepción,Lunes
1986,25 de diciembre,Navidad,Jueves
1987,1 de enero,Año Nuevo,Jueves
1987,12 de enero,Epifanía,Lunes
1987,23 de marzo,Día de San José,Lunes
1987,16 de abril,Jueves Santo,Jueves
1987,17 de abril,Viernes Santo,Viernes
1987,1 de mayo,Día del trabajo,Viernes
1987,1 de junio,Ascensión de Jesús,Lunes
1987,22 de junio,Corpus Christi,Lunes
1987,29 de junio,Sagrado Corazón de Jesús,Lunes
1987,29 de junio,San Pedro y San Pablo,Lunes
1987,20 de julio,Día de la independencia,Lunes
1987,7 de agosto,Batalla de Boyacá,Viernes
1987,17 de agosto,Asunción de la Virgen,Lunes
1987,12 de octubre,Día de la raza,Lunes
1987,2 de noviembre,Todos los Santos,Lunes
1987,16 de noviembre,Independencia de Cartagena,Lunes
1987,8 de diciembre,Inmaculada Concepción,Martes
1987,25 de diciembre,Navidad,Viernes
1988,1 de enero,Año Nuevo,Viernes
1988,11 de enero,Epifanía,Lunes
1988,21 de marzo,Día de San José,Lunes
1988,31 de marzo,Jueves Santo,Jueves
1988,1 de abril,Viernes Santo,Viernes
1988,1 de mayo,Día del trabajo,Domingo
1988,16 de mayo,Ascensión de Jesús,Lunes
1988,6 de junio,Corpus Christi,Lunes
1988,13 de junio,Sagrado Corazón de Jesús,Lunes
1988,4 de julio,San Pedro y San Pablo,Lunes
1988,20 de julio,Día de la independencia,Miércoles
1988,7 de agosto,Batalla de Boyacá,Domingo
1988,15 de agosto,Asunción de la Virgen,Lunes
1988,17 de octubre,Día de la raza,Lunes
1988,7 de noviembre,Todos los Santos,Lunes
1988,14 de noviembre,Independencia de Cartagena,Lunes
1988,8 de diciembre,Inmaculada Concepción,Jueves
1988,25 de diciembre,Navidad,Domingo
1989,1 de enero,Año Nuevo,Domingo
1989,9 de enero,Epifanía,Lunes
1989,20 de marzo,Día de San José,Lunes
1989,23 de marzo,Jueves Santo,Jueves
1989,24 de marzo,Viernes Santo,Viernes
1989,1 de mayo,Día del trabajo,Lunes
1989,8 de mayo,Ascensión de Jesús,Lunes
1989,29 de mayo,Corpus Christi,Lunes
1989,5 de junio,Sagrado Corazón de Jesús,Lunes
1989,3 de julio,San Pedro y San Pablo,Lunes
1989,20 de julio,Día de la independencia,Jueves
1989,7 de agosto,Batalla de Boyacá,Lunes
1989,21 de agosto,Asunción de la Virgen,Lunes
1989,16 de octubre,Día de la raza,Lunes
1989,6 de noviembre,Todos los Santos,Lunes
1989,13 de noviembre,Independencia de Cartagena,Lunes
1989,8 de diciembre,Inmaculada Concepción,Viernes
1989,25 de diciembre,Navidad,Lunes
1990,1 de enero,Año Nuevo,Lunes
1990,8 de enero,Epifanía,Lunes
