CASE#,DATE OF OCCURRENCE,BLOCK, IUCR,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JG406115,08/31/2023 07:00:00 PM,042XX W MARQUETTE RD,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,Y,Y,833,23,04B,1149062,1859830,41.771296232,-87.729149311,"(41.771296232, -87.729149311)"
JG425966,09/15/2023 11:20:00 PM,010XX W 84TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,613,17,08B,1170922,1849120,41.74145726,-87.649330096,"(41.74145726, -87.649330096)"
JG412467,08/31/2023 09:13:00 PM,093XX S WABASH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,634,6,07,1178354,1843057,41.724654303,-87.622283278,"(41.724654303, -87.622283278)"
JG426285,09/15/2023 06:00:00 PM,057XX S DR MARTIN LUTHER KING JR DR,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,232,20,14,1179905,1867002,41.790326702,-87.615870527,"(41.790326702, -87.615870527)"
JH178504,03/07/2024 01:50:00 AM,059XX W FULTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1512,29,08B,1136554,1901395,41.885589206,-87.774008188,"(41.885589206, -87.774008188)"
JH180271,03/07/2024 10:37:00 PM,130XX S TORRENCE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,VEHICLE NON-COMMERCIAL,N,N,434,10,04A,1195767,1819062,41.658397108,-87.559290413,"(41.658397108, -87.559290413)"
JH180116,03/07/2024 11:00:00 PM,019XX S HARDING AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,1014,24,14,1150368,1890090,41.85430871,-87.723574849,"(41.85430871, -87.723574849)"
JH183157,03/07/2024 06:05:00 PM,008XX W NEWPORT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,N,N,1924,44,14,1169930,1923108,41.944508506,-87.650810408,"(41.944508506, -87.650810408)"
JH179932,03/07/2024 08:23:00 PM,028XX N SHEFFIELD AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,1933,44,08A,1169119,1919247,41.933931433,-87.653903758,"(41.933931433, -87.653903758)"
JH183149,03/07/2024 07:00:00 AM,044XX S Evans Ave,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,221,3,11,1181896,1875684,41.814105006,-87.608301602,"(41.814105006, -87.608301602)"
JH186209,03/06/2024 03:30:00 PM,009XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1833,2,06,1177320,1906851,41.899734047,-87.624142375,"(41.899734047, -87.624142375)"
