WARD SECTION (CONCATENATED),WARD,SECTION,MONTH NAME,MONTH NUMBER,DATES
0814,8,14,OCTOBER,10,"2,3"
0909,9,9,JUNE,6,"22,25"
0206,2,6,AUGUST,8,"14,15"
0403,4,3,AUGUST,8,"16,17"
0111,1,11,APRIL,4,30
0404,4,4,APRIL,4,"10,11"
0103,1,3,SEPTEMBER,9,"11,12"
0311,3,11,OCTOBER,10,"26,27"
0209,2,9,JUNE,6,"18,19"
0407,4,7,JUNE,6,"1,4"
0506,5,6,APRIL,4,"16,17"
0710,7,10,OCTOBER,10,"29,30"
0603,6,3,MAY,5,"16,17"
0205,2,5,MAY,5,"2,3,22,23"
0512,5,12,AUGUST,8,"24,27"
0202,2,2,SEPTEMBER,9,"12,13"
0109,1,9,MAY,5,"7,14"
0912,9,12,MAY,5,"2,3"
0601,6,1,JUNE,6,"20,21"
0606,6,6,JULY,7,"5,6"
0817,8,17,JULY,7,"5,6"
0110,1,10,OCTOBER,10,"22,29"
0812,8,12,AUGUST,8,"8,9"
0608,6,8,OCTOBER,10,1
0503,5,3,AUGUST,8,1
0603,6,3,OCTOBER,10,"25,26"
0307,3,7,APRIL,4,"19,20"
0108,1,8,JULY,7,"26,27"
0813,8,13,JUNE,6,"22,25"
0308,3,8,SEPTEMBER,9,5
0301,3,1,APRIL,4,"3,4"
0915,9,15,NOVEMBER,11,"8,9"
0107,1,7,JULY,7,"24,25"
0706,7,6,JULY,7,"17,18"
0810,8,10,APRIL,4,"26,27"
0702,7,2,APRIL,4,"4,5"
0803,8,3,APRIL,4,"6,9"
0613,6,13,JULY,7,"25,26"
0205,2,5,AUGUST,8,"10,13,30,31"
0817,8,17,AUGUST,8,"22,23"
0208,2,8,SEPTEMBER,9,"4,5,11,12,18,19,25,26"
0208,2,8,APRIL,4,"3,4,10,11,17,18,24,25"
0209,2,9,AUGUST,8,"16,17"
0606,6,6,MAY,5,"24,25"
0411,4,11,JUNE,6,"13,14"
0807,8,7,OCTOBER,10,31
0714,7,14,AUGUST,8,"8,9"
0203,2,3,JUNE,6,"6,7,26,27"
0404,4,4,AUGUST,8,"20,21"
0314,3,14,NOVEMBER,11,"5,6"
0906,9,6,APRIL,4,"16,17"
0811,8,11,AUGUST,8,"6,7"
0109,1,9,OCTOBER,10,"1,15"
0201,2,1,APRIL,4,"2,3,20,23"
0414,4,14,NOVEMBER,11,"2,5"
0108,1,8,APRIL,4,"26,27"
0815,8,15,JUNE,6,"28,29"
0509,5,9,JULY,7,"11,12"
0207,2,7,JULY,7,"3,10,11,17,18,24,25,31"
0409,4,9,SEPTEMBER,9,"5,6"
0204,2,4,AUGUST,8,"8,9,28,29"
0508,5,8,MAY,5,"30,31"
0707,7,7,OCTOBER,10,"19,22"
0204,2,4,MAY,5,"1,18,21"
0202,2,2,OCTOBER,10,"4,5,25,26"
0102,1,2,OCTOBER,10,"4,5"
0801,8,1,JULY,7,"9,10"
0207,2,7,OCTOBER,10,"2,3,9,10,16,17,23,24,30,31"
0303,3,3,APRIL,4,"9,10"
0502,5,2,OCTOBER,10,"15,16"
0606,6,6,AUGUST,8,"14,15"
0701,7,1,MAY,5,"16,17"
0701,7,1,APRIL,4,"2,3"
0501,5,1,NOVEMBER,11,"8,9"
0610,6,10,JULY,7,"17,18"
0102,1,2,JUNE,6,"1,7"
0104,1,4,AUGUST,8,"9,10"
0412,4,12,OCTOBER,10,"29,30"
0602,6,2,MAY,5,"14,15"
0409,4,9,JULY,7,"23,24"
0102,1,2,SEPTEMBER,9,"6,7"
0111,1,11,OCTOBER,10,"30,31"
0309,3,9,OCTOBER,10,"22,23"
0208,2,8,JUNE,6,"5,6,12,13,19,20,26,27"
0102,1,2,APRIL,4,"5,6"
0413,4,13,NOVEMBER,11,1
0816,8,16,OCTOBER,10,"9,10"
0311,3,11,JULY,7,"30,31"
0206,2,6,SEPTEMBER,9,"4,5,24,25"
0811,8,11,JUNE,6,"18,19"
0103,1,3,MAY,5,"8,9"
0405,4,5,AUGUST,8,"22,23"
0204,2,4,APRIL,4,"10,11,30"
0703,7,3,APRIL,4,"6,9"
0908,9,8,AUGUST,8,"20,21"
0315,3,15,NOVEMBER,11,"7,8"
0101,1,1,OCTOBER,10,"2,3"
0412,4,12,JUNE,6,"15,18"
0507,5,7,AUGUST,8,"10,13"
0605,6,5,NOVEMBER,11,1
0110,1,10,SEPTEMBER,9,"17,24"
0605,6,5,AUGUST,8,"10,13"
0304,3,4,JULY,7,"10,11"
0905,9,5,OCTOBER,10,"11,12"
0410,4,10,JULY,7,"25,26"
0505,5,5,MAY,5,"18,21"
0904,9,4,OCTOBER,10,"9,10"
0715,7,15,MAY,5,"10,11"
0408,4,8,APRIL,4,"20,23"
0503,5,3,MAY,5,"14,15"
0207,2,7,MAY,5,"1,,8,9,15,16,22,23,29,30"
0202,2,2,JULY,7,"13,16"
0919,9,19,SEPTEMBER,9,"20,21"
0107,1,7,JUNE,6,"26,27"
0407,4,7,APRIL,4,"18,19"
0914,9,14,NOVEMBER,11,"6,7"
0609,6,9,APRIL,4,"24,25"
0607,6,7,JULY,7,"9,10"
0512,5,12,MAY,5,"2,3"
0301,3,1,SEPTEMBER,9,"26,27"
0408,4,8,AUGUST,8,"30,31"
0804,8,4,MAY,5,"29,30"
0813,8,13,AUGUST,8,"10,13"
0513,5,13,MAY,5,"4,7"
0604,6,4,MAY,5,"18,21"
0315,3,15,AUGUST,8,"9,10"
0303,3,3,NOVEMBER,11,"15,16"
0918,9,18,JULY,7,"19,20"
0202,2,2,APRIL,4,"4,5,24,25"
0502,5,2,NOVEMBER,11,"12,13"
0811,8,11,NOVEMBER,11,"12,13"
0415,4,15,SEPTEMBER,9,"21,24"
0715,7,15,SEPTEMBER,9,"26,27"
0207,2,7,NOVEMBER,11,"6,7,13,14"
0704,7,4,JULY,7,"11,12"
0817,8,17,OCTOBER,10,"11,12"
0309,3,9,SEPTEMBER,9,"6,7"
0917,9,17,MAY,5,"16,17"
0610,6,10,JUNE,6,"6,7"
0611,6,11,MAY,5,1
0609,6,9,JUNE,6,"4,5"
0306,3,6,JULY,7,"16,17"
0909,9,9,APRIL,4,"24,25"
0902,9,2,JUNE,6,"4,5"
0914,9,14,JULY,7,"9,10"
0713,7,13,MAY,5,"4,7"
0308,3,8,AUGUST,8,31
0414,4,14,MAY,5,"8,9"
0810,8,10,JUNE,6,"14,15"
0413,4,13,SEPTEMBER,9,"17,18"
0503,5,3,JULY,7,31
0809,8,9,NOVEMBER,11,"6,7"
0611,6,11,AUGUST,8,"28,29"
0304,3,4,OCTOBER,10,"4,5"
0104,1,4,NOVEMBER,11,"8,9"
0410,4,10,SEPTEMBER,9,"7,10"
0908,9,8,OCTOBER,10,"19,22"
0104,1,4,SEPTEMBER,9,"13,14"
0607,6,7,SEPTEMBER,9,"26,27"
0710,7,10,JULY,7,"27,30"
0209,2,9,APRIL,4,"18,19"
0310,3,10,SEPTEMBER,9,"10,11"
0510,5,10,APRIL,4,"26,27"
0506,5,6,AUGUST,8,"8,9"
0613,6,13,SEPTEMBER,9,"4,5"
0919,9,19,JULY,7,"23,24"
0701,7,1,OCTOBER,10,"2,3"
0607,6,7,MAY,5,"29,30"
0901,9,1,SEPTEMBER,9,28
0205,2,5,APRIL,4,"12,13"
0102,1,2,JULY,7,"5,6"
0902,9,2,OCTOBER,10,"2,3"
0107,1,7,OCTOBER,10,"23,24"
0711,7,11,SEPTEMBER,9,"14,17"
0312,3,12,SEPTEMBER,9,"14,17"
0415,4,15,AUGUST,8,"8,9"
0203,2,3,AUGUST,8,"6,7,24,27"
0712,7,12,NOVEMBER,11,"2,5"
0411,4,11,MAY,5,1
0802,8,2,OCTOBER,10,"17,18"
0104,1,4,JULY,7,"12,13"
0604,6,4,SEPTEMBER,9,"18,19"
0312,3,12,OCTOBER,10,"30,31"
0206,2,6,APRIL,4,"16,17"
0609,6,9,JULY,7,"13,16"
0602,6,2,OCTOBER,10,"23,24"
0809,8,9,JULY,7,31
0611,6,11,OCTOBER,10,"9,10"
0704,7,4,AUGUST,8,"24,27"
0306,3,6,APRIL,4,"17,18"
0912,9,12,OCTOBER,10,31
0610,6,10,NOVEMBER,11,"14,15"
0913,9,13,NOVEMBER,11,"2,5"
0605,6,5,JULY,7,"2,3"
0803,8,3,MAY,5,"24,25"
0308,3,8,JULY,7,"20,23"
0403,4,3,NOVEMBER,11,"14,15"
0918,9,18,SEPTEMBER,9,"18,19"
0807,8,7,JUNE,6,"6,7"
0711,7,11,APRIL,4,30
0714,7,14,MAY,5,"8,9"
0307,3,7,JUNE,6,"4,5"
0602,6,2,JUNE,6,"22,25"
0204,2,4,JUNE,6,"8,11,28,29"
0503,5,3,JUNE,6,"21,22"
0714,7,14,JUNE,6,"22,25"
0510,5,10,AUGUST,8,"20,21"
0507,5,7,APRIL,4,"18,19"
0106,1,6,OCTOBER,10,"18,19"
0801,8,1,AUGUST,8,"24,27"
0504,5,4,OCTOBER,10,"19,22"
0107,1,7,MAY,5,"22,23"
0201,2,1,NOVEMBER,11,"12,13"
0710,7,10,SEPTEMBER,9,"12,13"
0611,6,11,JULY,7,"19,20"
0412,4,12,MAY,5,"2,3"
0315,3,15,MAY,5,"11,14"
0103,1,3,NOVEMBER,11,"13,14"
0710,7,10,JUNE,6,"12,13"
0712,7,12,SEPTEMBER,9,"18,19"
0810,8,10,SEPTEMBER,9,"20,21"
0703,7,3,MAY,5,"22,23"
0505,5,5,OCTOBER,10,"23,24"
0813,8,13,NOVEMBER,11,16
0921,9,21,JULY,7,"27,30"
0203,2,3,NOVEMBER,11,16
0705,7,5,JULY,7,"13,16"
0402,4,2,JUNE,6,29
0101,1,1,JUNE,6,"5,6"
0107,1,7,SEPTEMBER,9,"25,26"
0713,7,13,NOVEMBER,11,"6,7"
0708,7,8,APRIL,4,"20,23"
0801,8,1,APRIL,4,"2,3"
0716,7,16,AUGUST,8,"14,15"
0302,3,2,MAY,5,"17,18"
0716,7,16,JUNE,6,"28,29"
0209,2,9,JULY,7,"9,10,27,30"
0406,4,6,AUGUST,8,"24,27"
0614,6,14,JUNE,6,"18,19"
0406,4,6,MAY,5,"30,31"
0609,6,9,NOVEMBER,11,"12,13"
0816,8,16,MAY,5,"14,15"
0509,5,9,SEPTEMBER,9,"25,26"
0806,8,6,JUNE,6,"4,5"
0806,8,6,SEPTEMBER,9,"10,11"
0502,5,2,JULY,7,"27,30"
0511,5,11,JULY,7,"17,18"
0105,1,5,APRIL,4,"17,18"
0405,4,5,APRIL,4,"12,13"
0601,6,1,APRIL,4,"2,3"
0209,2,9,OCTOBER,10,"19,22"
0907,9,7,JUNE,6,"18,19"
0919,9,19,MAY,5,"22,23"
0104,1,4,OCTOBER,10,"11,12"
0408,4,8,JUNE,6,"5,6"
0103,1,3,OCTOBER,10,"8,9"
0302,3,2,SEPTEMBER,9,28
0909,9,9,AUGUST,8,"22,23"
0913,9,13,SEPTEMBER,9,"4,5"
0505,5,5,AUGUST,8,"6,7"
0207,2,7,AUGUST,8,"1,7,8,14,15,21,22,28,29"
